,nickname,text,score,like,dislike,time,watch_movie
2836,para****,다이나믹하고 빠른 전개와 구성으로 지루한 부분이 없고 스피디한 좀비 떼들이 영화의 긴장감을 최고조로 끌어 올린다. 스릴 만점으로 B금으로 분류된 좀비 영화류를 A급으로 올리는데 이만하면 성공한 듯하다. 마지막 엔딩씬...,10,4,2,2013-06-21 09:12:00,0
2837,real****,후반부에 힘이 부족했다고 생각 하지만 그래도 굿!!,10,4,2,2013-06-21 09:02:00,0
2838,mischa(0522****),전너무재밌던데요? 이런영화를영화관에서봐야돼~ 끝이허무하단사람있는데! 엔딩때문에안보면후회할영화~~,9,4,2,2013-06-21 08:07:00,0
2839,Since(jyk8****),"초중반의 전개가 흥미진진하고 긴장감이 넘친다. 다만, 원작 소설과는 많이 다른 내용과, 아쉬운 결말이 흠이라면 흠일까? 하지만 역시 발업을 마친 초고속 좀비물은 좋다.",8,4,2,2013-06-21 06:23:00,0
2840,gd48****,개인적으로 좀비장르중에 제일 스케일크고 맘에들었다..!진짜 별점적게줘도 8점이상 영화 ㅋ,10,4,2,2013-06-21 04:48:00,0
2841,thsr****,재밌었어요 음.. 그냥 재밌었네요 그 커다란 벽이 노래부르는거땜에 허무하게 뚫린건좀 아쉬웠네요,10,4,2,2013-06-21 03:45:00,0
2842,aust****,대박. 너무재밌슴..진짜..ㅠㅠ 사람 쫄깃하게 만드는 영화,10,4,2,2013-06-21 03:31:00,0
2843,림(hael****),좋았어요ㅎㅎ,9,4,2,2013-06-21 02:08:00,0
2844,이제니(elee****),좀비가 너무 몰려다녀서 그래픽이 좀 아쉽지만 재미있다,10,4,2,2013-06-21 01:14:00,0
2845,fild****,허무개그.....................,4,4,2,2013-06-20 23:44:00,0
2846,라잎(tlsr****),이 영화는 사실상 원작을 영화화 하기 힘든 작품이었다. 하지만 어떤 영화든 원작을 완벽하게 영화화 할순 없다. 그렇다고 해서 이게 원작에 비해 월등히 떨어진다는 것은 아니다. 내가 본 좀비 영화중 가장 긴장감이 느껴...,10,4,2,2013-06-20 22:50:00,0
2847,피니앙스(pini****),"잘만든 편이지만, 새벽의 저주를 능가하진 못했다",7,4,2,2013-06-20 22:38:00,0
2848,zero****,아놔 예고편에 낚였네 ㅡㅡ;ㅡ; 예고편이 다여 아주 그냥,5,4,2,2013-06-20 22:37:00,0
2849,kim8605(korb****),소설의 스토리를 수박 겉핡기 식으로 마무리하고 엉성하고 애매모호한 결말은 그동안 기다린 팬들을 허무하게 만들었다.,6,4,2,2013-06-20 22:35:00,0
2850,강동원빈(sea1****),대박 손에땀쥐고봄,10,4,2,2013-06-20 22:00:00,0
2851,rola****,알바들엄청난듯 예고보단시시했음좀비치곤시시하고 사람마니나온거치곤썰렁ㅡㅡ,6,4,2,2013-06-20 21:58:00,0
2852,14 겜그 손종욱(ssa4****),재밌었음 ㅋㅋ  웃긴장면도있었음 ㅋㅋㅋㅋㅋ,10,4,2,2013-06-20 21:41:00,0
2853,I LOVE SUGAR(zeus****),간만에 개봉일날 영화봤는데 후회됨. 깜짝놀라는거 말곤볼거 없음.,6,4,2,2013-06-20 20:50:00,0
2854,tmdg****,너무 스릴 있는데...너무 전개가 빠른듯.....그리고 마지막에 급허무함........,6,4,2,2013-06-20 20:49:00,0
2855,나르시스(mono****),기대를 넘 했던지..실망이 큼!!,5,4,2,2013-06-20 20:47:00,0
2856,andr****,한마디로 유명무실 그 자체의 영화였다. 스타트렉 타크니스 처럼 예고편이 전부였다고 생각되는 사람은 나뿐일까? ㅎㅎ,5,4,2,2013-06-20 20:18:00,0
2857,리치(jasu****),"스토리는 단조롭지만, 긴장감있게 재미있게 봤네요, 7점대 영화는 아닌듯... 8점대 초반?",9,4,2,2013-06-20 20:13:00,0
