,nickname,text,score,like,dislike,time,watch_movie
67,arca****,21세기 좀비영화의 레전드작,9,4,0,2019-12-31 04:38:00,0
68,크리스탈(lsj1****),잼있어요.  좀비물 잘 못보는데 볼만했어요.인간은 어디까지 악해질수 있는지 보여주는 영화.파리하나 못죽일꺼 같던 짐이 후반엔 수퍼 솔저가 돼서..  갑자기? 하면서 봤네요.,8,4,0,2019-08-16 17:42:00,0
69,KIWITREE(wkda****),"워낙 유명한 작품인데 한 번도 본 적이 없어서 이번에 처음봤는데, 정말 잘 만든 작품같다. 좀비물 중에서 이렇게 좀비가 아닌 인간에 치중된 스토리를 본 적이 없음.. 평점이 8점대는 되어야 한다는 의견에 공감. BG...",10,4,0,2019-03-18 23:37:00,0
70,잘그미(ruds****),좀비영화중 가장 암울하고 종말의 그 분위기를 잘표현한 작품... 새벽의 저주와 어깨를 나란히하는 좀비영화의 양대산맥,10,4,0,2018-10-25 00:05:00,0
71,dohy****,내첫좀비작 최고 그리고 내가 좀비에 빠지게된이유,10,4,0,2018-09-29 03:27:00,0
72,네버마인드(kain****),달리는 좀비의 시초이자 인간에 대해 생각하게끔 하는 생존류의 시작,10,4,0,2018-09-25 01:51:00,0
73,나나나(urus****),음막만으로도 만점주고 싶은 영화,10,4,0,2017-08-08 12:50:00,0
74,반반(qks_****),좀비영화의 원천정도로만 알고 봤는데  그정도 영화가 아니다. 평범한 좀비장르를 생각하고 보면 굉장히 재미없을것. 사실 여성들에게 굉장히 추천하고 싶은 영화,10,4,0,2016-06-07 20:20:00,0
75,김군(sodr****),처음에는 그냥 좀비물 정도로 봤지만 오랜만에 다시 보니 단순히 공포물이 아니고 영화에 좋은 뜻이 많이 있다. 좀비바이러스도 하나의 재앙일뿐이지. 어떻게보면 평범한 상황과 크게 다르지 않다. 인간이 인간을 학살할뿐 미...,10,4,0,2016-05-10 00:55:00,0
76,아라비(dlwo****),스포일러가 포함된 감상평입니다. 감상평 보기,1,5,1,2020-08-02 21:17:00,0
77,blos****,다들 28주후가 더 재밌다고 그러던데 이해가 안간다... 28일후가 압도적으로 더 재밌던데.... 새벽의 저주와 더불어 좀비영화계의 투톱이라 생각함,10,6,2,2018-10-01 15:43:00,0
78,일락(xhwl****),내용도 최고음악도 최고!!!,10,3,0,2020-02-25 01:11:00,0
79,aaaa(wlsd****),"그 어떤 좀비영화도 28일후를 넘지 못했다, 그나저나 밑에 6점준 10선비 평점보고 개뿜음ㅋㅋㅋㅋ",10,3,0,2020-02-25 01:08:00,0
80,가나다라마바사V3(h9n5****),지금 슈퍼액션에서 시작합니다  !!!,10,3,0,2020-02-24 23:16:00,0
81,베네딕트자대배치(tlgj****),무정부상태가되고 세상이 멸망에 놓여지게된다면 인간은 이성잃고 오로지 본능으로 살아가게해준다는 영화.,10,3,0,2019-12-20 01:40:00,0
82,나나그나(wow3****),평점이 너무 낮아 10점을 줍니다. 이 영화는 최소 8.5 이상은 나와야 됩니다. 영화도 안 본 사람들이 평점테러를 주는 것은 이치가 아닙니다.,10,3,0,2019-12-03 18:45:00,0
83,leew****,월드워z 때문에 다시 찾아보게 된 영화~~ 포스터도 강렬하고  쫄깃한 긴장감이 최고인 영화~,9,3,0,2019-07-29 14:32:00,0
84,dave(kirt****),평점 9넘어야지. 좀비물 최고의 영화,10,3,0,2019-07-20 01:34:00,0
85,spar****,파프롬홈 보고 이걸 재개봉 봤더니 레알 비주얼쇼크. 02년영환대도 구린음향/화질에 남주 누군가 했더니 킬리언형 근데 내가 왜 형ㄲㅊ를 봐야돼ㅗㅜㅑ내눈 근데. 초반깔리는 브금에 지리고 좀비가 실제 있다면 이러지 않을까...,7,3,0,2019-07-15 03:25:00,0
86,sinh****,좀비 영화의 바이블! bgm이 영화를 완성시키는 작품,10,3,0,2019-02-23 06:09:00,0
87,silva(kop5****),좀비물 시리즈중에 이게 원탑인거 같다...,10,3,0,2019-01-13 10:13:00,0
88,natam(fail****),분위기가쩐다 진짜종말앞둔세상의 분위기를잘담아냄. 좀비안나와도 분위기로도무섭다,8,3,0,2018-11-12 03:25:00,0
89,나나나(tuca****),아무생각없이 보는 좀비물이 아님..,8,3,0,2017-09-16 22:47:00,0
90,이다쓰(lsj6****),이거 보통영화가 아닌데?? 마지막에 ㄹㅇ  속으로 이거 보통영화가아닌데.. 이거 명작인데..이거 완전 명작인데.. 이말만 계속 맴돌았다ㄹㅇ..,9,3,0,2017-08-18 15:36:00,0
91,이영인(lyiz****),"사운드, 좀비, 스토리 모두 다 좋았다",10,3,0,2017-08-04 22:16:00,0
92,인플레임(kisk****),이게 왜 점수가 이거밖에 안되는지 이해가안간다.이건 역대 좀비영화 내인생 탑3에 들어간다.,10,3,0,2016-06-28 02:58:00,0
93,나아아라(qudt****),이게 재미없다면 도대체 어떤 좀비영화를 원하는건가요??,10,4,1,2018-11-24 16:04:00,0
94,stronger(whdn****),모든 좀비 영화를 통틀어 단연 최고의 작품,10,4,1,2018-09-25 17:51:00,0
95,sshi****,물론 개취는 존중해줘야하지만 이정도 영화면 최소 8점은 넘어야 한다.,10,4,1,2016-04-30 00:13:00,0
96,짐굿(bloo****),어떻게 이 명작이 7점대냐,10,4,1,2016-01-19 19:20:00,0
97,Cyrus(kank****),조금만 더 평점이 올라가길.,8,4,1,2016-01-17 17:21:00,0
98,hjk3****,이게 왜 좀비영화 레전드로 뽑히는지 전혀 이해못하겟음,4,5,2,2020-03-19 16:10:00,0
99,멜브(jms5****),"영화 내부에 메시지를 지니고 있지만, 좀비물이라 하기엔 좀비가 적게 나온다는게 흠. 긴장감도 거의 없을뿐더러. 메시지만 보여주면서 '이런 영화다.'만 보여주는 영화. 좀 지루하다. 사람 없는 영국의 모...",7,5,2,2014-12-23 12:27:00,0
100,rhle****,쓰레기 같은 동물 애호가들의 무지한 행동이 얼마나 심각한 비극을 초래하는지 잘 보여주는 영화,8,63,60,2013-04-15 01:29:00,0
101,SSJ(tmdw****),혹시 시청중 이거 맞나? 싶어서 들어오신분이 있다면 지금 바로 끄세요. 늦은거 아니니까 빨리 끄세요.,4,2,0,2020-05-16 19:29:00,0
102,민경훈(heyh****),28일후 : 민폐의 시작28주후 : 민폐의 활약,6,2,0,2020-03-31 00:40:00,0
103,전서영(doon****),아니 진짜 나중엔 저런바이러스가 진짜 생겨날거같음 뛰어나오는 좀비에 놀라기보다는 인간의 모습에 더 놀라게됨,8,2,0,2020-02-25 00:30:00,0
104,추모(suna****),"28주와 다른 느낌, 깜짝 놀라는 씬은 훨씬 적었지만 더 긴박했고 영화가 끝나고 생각을 남기게 했음",8,2,0,2020-02-16 01:51:00,0
105,무비필리아(alst****),단순한 좀비물이 아닌 인간이 어디까지 타락할 수 있는지 잘 보여준다. 인간의 존엄성에 대해 잘 보여준 영화,8,2,0,2020-02-04 21:12:00,0
106,방방방(baby****),28년후.도 나와야함.대니보일영화야 뭐..말할것도없지.ㅎㅎ음악도너무좋구!,10,2,0,2020-01-10 03:36:00,0
107,beyo****,"28일후는  명작이고,  28주후는 삼류영화다.",10,2,0,2019-10-12 22:03:00,0
108,라임나무(comf****),"만약 잔인하고 공포스러운 분위기를 싫어하신다면 추천하지 못 할 수도 있습니다. 하지만 수 많은 좀비를 다룬 영화들중 하나를 꼽으라면 단연 28일후를 뽑겠습니다. 연기, 연출, 스토리, 영상미에 심지어 OST까지 저는...",10,2,0,2019-10-12 04:23:00,0
109,집사다옹(kitt****),"심장 쫄깃,, 좀비가 너무 톡특하고 기괴해",10,2,0,2019-10-02 15:56:00,0
110,Quik(ysh9****),내생애 최고의 좀비 영화작품,10,2,0,2019-09-11 15:27:00,0
111,스타투유즈맵(dudw****),워킹데드 보다 훨 낫네.,7,2,0,2019-08-31 19:56:00,0
112,이원찬(lwc2****),죽기전에 봐야 할 무거운 좀비물,9,2,0,2019-08-28 19:35:00,0
113,사자후(djtm****),"내가 본 최고의 좀비영화 넘버원임,,,2등은 새벽의저주  3등은 좀비랜드, 4등은 부산행, 5등 월드워z, 6등 나는전설이다",10,2,0,2019-08-11 13:54:00,0
114,피오스(pios****),레지던트 이블1과 더불어 좀비영화의 작품성을 크게 올린 명작,10,2,0,2019-08-05 18:05:00,0
115,roge****,평점 올리려고 왔습니다. 몇번을 봐도 그 특유의  어두운 느낌과 음악이 너무 예술이네요. 단순 좀비 액션을 넘어 뭔가 생각하게 만드는 영화...,10,2,0,2019-08-04 18:22:00,0
116,9093(yth1****),워데보다가 이거 보니 뛰는 좀비가 적응이 안댐... 근데 알고보니 그냥 좀비가 아니라 분노바이러스로 폭력성은 올라가고 지능은 사라진 그냥 사람이니 인정.,7,2,0,2019-07-31 13:48:00,0
117,롤로(png5****),"단순 깜놀, 고어, 답답한 주인공 넣기 등으로 관객들에게 1차원 적인 공포를 주는게 아니라 정망 상상도 하기싫은 공포감을 주네요.내가 저 바이러스 세상에 있는거같아서 보는데 정신병 걸리는줄. 쉽게 만든 영화가 아니란...",10,2,0,2019-07-19 23:11:00,0
118,love  love  love(cc14****),분노바이러스에 감염된 침팬지 한마리를 풀어준다 28일후 28주후 다봤네요. 인간으로 인한 침팬지의 분노바이러스.  그누구도 믿지못하는 사태로 번지는데.   28주후 후속작이 기획중,10,2,0,2019-07-15 22:31:00,0
119,크리스탈(a8d5****),좀비 풀어줄때 bgm이 압권이었음,8,2,0,2019-07-11 21:15:00,0
120,So Hwa Gi(waro****),재미쪙 재미쪙 재미쪙 재미쪙,10,2,0,2019-07-11 20:39:00,0
